#ind,TIC,period_2g,period_2g_sigma_low,period_2g_sigma_high,chi2_2g,period_pf,period_pf_sigma_low,period_pf_sigma_high,chi2_pf,period_combined,period_combined_sigma_low,period_combined_sigma_high
3977,295802147,1.65370228,0.00002619,0.00002578,28554.08863508,1.65362232,0.00006732,0.00039648,29321.63427671,1.65369681,0.00010694,0.00009612
3978,295803225,6.56038569,0.00006335,0.00006136,109970.30314676,6.56023305,0.00002692,0.00003870,71726.97136461,6.56026492,0.00004961,0.00013508
3979,295804815,1.52851216,0.00000024,0.00000065,980113.16171373,1.52853360,0.00000046,0.00000066,592747.64997359,1.52853319,0.00002108,0.00000085
3980,297647356,1.76560338,0.00002060,0.00001843,83323.17189770,1.76554697,0.00001128,0.00001008,81552.89766511,1.76556441,0.00002259,0.00004717
3981,297701617,18.54796604,0.00009665,0.00009964,19483719.60134513,18.19253969,0.00053403,0.00050827,18832529.56811488,18.19360762,0.00135220,0.35446621
3982,298079609,0.49538202,0.00000022,0.00000019,9993232.05561113,0.49538269,0.00000212,0.00000150,10278971.28296187,0.49538208,0.00000050,0.00000130
3983,298246821,0.35245169,0.00000001,0.00000001,4207944.72437298,0.35244928,0.00000000,0.00000016,13433747.99222385,0.35245169,0.00000002,0.00000001
3984,298421458,1.49938269,0.00000062,0.00000063,3363650.65781040,1.49937350,0.00000581,0.00000534,2408096.58904750,1.49937898,0.00000910,0.00000397
3985,298734307,0.94427115,0.00000001,0.00000001,526524969.59025007,0.94427086,0.00000000,0.00000000,394616507.73894745,0.94427115,0.00000001,0.00000001
3986,299135660,NaN,0.00007478,0.00006628,NaN,5.76982073,0.00000926,0.00000740,850179.63000318,5.76982073,0.00000926,0.00000740
3987,299156852,0.74509590,0.00000119,0.00000120,100716.43488479,0.74510470,0.00000081,0.00000073,262857.88656432,0.74509650,0.00000153,0.00000807
3988,299160301,NaN,0.00001626,0.00001757,NaN,5.93708138,0.00177319,0.00196622,53587430.47074641,5.93708138,0.00177319,0.00196622
